seed,strategy,model,accuracy,f1_score
2643,balanced_drop,RandomForestClassifier,0.75,0.7333333333333334
2643,balanced_stretch,GradientBoostingClassifier,0.625,0.5636363636363637
2643,balanced_stretch,DecisionTreeClassifier,0.625,0.5636363636363637
2643,balanced_stretch,RandomForestClassifier,0.875,0.873015873015873
3832,base,GradientBoostingClassifier,0.5,0.5333333333333333
3832,base,DecisionTreeClassifier,0.5,0.5333333333333333
3832,base,RandomForestClassifier,0.75,0.7666666666666667
3832,balanced_in,GradientBoostingClassifier,0.625,0.6428571428571429
3832,balanced_in,DecisionTreeClassifier,0.625,0.6428571428571429
3832,balanced_in,RandomForestClassifier,0.625,0.6428571428571429
3832,balanced_on,GradientBoostingClassifier,0.625,0.6454545454545454
3832,balanced_on,DecisionTreeClassifier,0.625,0.6454545454545454
3832,balanced_on,RandomForestClassifier,0.75,0.7666666666666667
3832,balanced_drop,GradientBoostingClassifier,0.625,0.6428571428571429
3832,balanced_drop,DecisionTreeClassifier,0.625,0.6428571428571429
3832,balanced_drop,RandomForestClassifier,0.75,0.7666666666666667
3832,balanced_stretch,GradientBoostingClassifier,0.625,0.6454545454545454
3832,balanced_stretch,DecisionTreeClassifier,0.625,0.6454545454545454
3832,balanced_stretch,RandomForestClassifier,0.625,0.6428571428571429
7950,base,GradientBoostingClassifier,0.5,0.5
7950,base,DecisionTreeClassifier,0.75,0.7499999999999999
7950,base,RandomForestClassifier,0.375,0.20454545454545453
7950,balanced_in,GradientBoostingClassifier,0.625,0.6309523809523809
7950,balanced_in,DecisionTreeClassifier,0.75,0.7500000000000001
7950,balanced_in,RandomForestClassifier,0.5,0.43333333333333335
7950,balanced_on,GradientBoostingClassifier,0.75,0.7500000000000001
7950,balanced_on,DecisionTreeClassifier,0.75,0.7500000000000001
7950,balanced_on,RandomForestClassifier,0.625,0.6071428571428572
7950,balanced_drop,GradientBoostingClassifier,0.75,0.7499999999999999
